Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	analysis_type	collection_date	env_biome	env_feature	env_material	flowcell_barcode	geo_loc_name	gssr_id	host	host_age	host_disease	host_sex	host_subject_id	instrument_name	isolation_source	lane	lat_lon	library_type	lsid	product_order	project	read_group_id	run_barcode	run_name	work_request	AssemblyName	Consent	Organism
RNA-Seq	202	PRJNA218186	SAMN01780268		BI	sra	ncbi		SRX399587	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	12631_ST_11_1	2013-12-27	484	322	ILLUMINA	2013-12-27	SRR1061591	SRS372959	SRP030662	PRJNA218187.12631_ST_11_1	AssemblyWithoutReference					D2BDVACXX		374290.0				female		SL-HAU	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374290.0	PDO-1813	G39489	D2BDV.5	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01780268		BI	sra	ncbi		SRX399587	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	12631_ST_11_1	2013-12-27	485	324	ILLUMINA	2013-12-27	SRR1061677	SRS372959	SRP030662	PRJNA218187.12631_ST_11_1	AssemblyWithoutReference					D2BDVACXX		374290.0				female		SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374290.0	PDO-1813	G39489	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01780268		BI	sra	ncbi		SRX399587	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	12631_ST_11_1	2013-12-27	481	323	ILLUMINA	2013-12-27	SRR1061768	SRS372959	SRP030662	PRJNA218187.12631_ST_11_1	AssemblyWithoutReference					D2BDVACXX		374290.0				female		SL-HAU	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374290.0	PDO-1813	G39489	D2BDV.3	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01780268		BI	sra	ncbi		SRX399587	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	12631_ST_11_1	2013-12-27	481	324	ILLUMINA	2013-12-27	SRR1061812	SRS372959	SRP030662	PRJNA218187.12631_ST_11_1	AssemblyWithoutReference					D2BDVACXX		374290.0				female		SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374290.0	PDO-1813	G39489	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01780268		BI	sra	ncbi		SRX399587	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	12631_ST_11_1	2013-12-27	485	327	ILLUMINA	2013-12-27	SRR1062095	SRS372959	SRP030662	PRJNA218187.12631_ST_11_1	AssemblyWithoutReference					D2BDVACXX		374290.0				female		SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374290.0	PDO-1813	G39489	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	877	595	ILLUMINA	2013-12-27	SRR1061419	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.6	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	878	600	ILLUMINA	2013-12-27	SRR1061446	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.2	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	876	599	ILLUMINA	2013-12-27	SRR1061484	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	885	605	ILLUMINA	2013-12-27	SRR1061630	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	876	594	ILLUMINA	2013-12-27	SRR1061683	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	875	592	ILLUMINA	2013-12-27	SRR1061779	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.5	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	874	600	ILLUMINA	2013-12-27	SRR1061789	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	8		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.8	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795797		BI	sra	ncbi		SRX399619	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11402_ST_08_1	2013-12-27	877	598	ILLUMINA	2013-12-27	SRR1061851	SRS373043	SRP030662	PRJNA218187.11402_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374350.0				female		SL-HAU	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374350.0	PDO-1813	G39542	D2BDV.3	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	364	244	ILLUMINA	2013-12-27	SRR1061422	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	360	239	ILLUMINA	2013-12-27	SRR1061491	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.5	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	361	242	ILLUMINA	2013-12-27	SRR1061506	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	363	243	ILLUMINA	2013-12-27	SRR1061562	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.2	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	363	243	ILLUMINA	2013-12-27	SRR1061572	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.3	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	363	241	ILLUMINA	2013-12-27	SRR1061715	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	355	239	ILLUMINA	2013-12-27	SRR1061873	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	8		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.8	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795811		BI	sra	ncbi		SRX399621	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11541_ST_08_1	2013-12-27	363	242	ILLUMINA	2013-12-27	SRR1061929	SRS373057	SRP030662	PRJNA218187.11541_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374332.0				male		SL-HAU	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374332.0	PDO-1813	G39558	D2BDV.6	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795821		BI	sra	ncbi		SRX399637	160	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_05_1	2013-12-27	836	540	ILLUMINA	2013-12-27	SRR1061450	SRS373067	SRP030662	PRJNA218187.11721_ST_05_1	AssemblyWithoutReference					D2F6TACXX		388401.0				female		SL-HAP	missing	8		cDNAShotgunStrandAgnostic	BROAD:SEQUENCING_SAMPLE:388401.0	PDO-1918	G39582	D2F6T.8	D2F6TACXX130903	130903_SL-HAP_0296_BFCD2F6TACXX	37943		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795821		BI	sra	ncbi		SRX399637	160	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_05_1	2013-12-27	828	532	ILLUMINA	2013-12-27	SRR1061863	SRS373067	SRP030662	PRJNA218187.11721_ST_05_1	AssemblyWithoutReference					D2F6TACXX		388401.0				female		SL-HAP	missing	7		cDNAShotgunStrandAgnostic	BROAD:SEQUENCING_SAMPLE:388401.0	PDO-1918	G39582	D2F6T.7	D2F6TACXX130903	130903_SL-HAP_0296_BFCD2F6TACXX	37943		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	322	216	ILLUMINA	2013-12-27	SRR1061472	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	8		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.8	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	329	218	ILLUMINA	2013-12-27	SRR1061627	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	325	217	ILLUMINA	2013-12-27	SRR1061646	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	326	218	ILLUMINA	2013-12-27	SRR1061803	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.3	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	329	218	ILLUMINA	2013-12-27	SRR1061806	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.6	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	329	219	ILLUMINA	2013-12-27	SRR1061892	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	328	218	ILLUMINA	2013-12-27	SRR1062049	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.5	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795849		BI	sra	ncbi		SRX399651	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_ST_05_1	2013-12-27	326	218	ILLUMINA	2013-12-27	SRR1062177	SRS373096	SRP030662	PRJNA218187.11381_ST_05_1	AssemblyWithoutReference					D2BDVACXX		374347.0				male		SL-HAU	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374347.0	PDO-1813	G39576	D2BDV.2	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	843	575	ILLUMINA	2013-12-27	SRR1061449	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.2	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	843	574	ILLUMINA	2013-12-27	SRR1061575	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.3	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	845	572	ILLUMINA	2013-12-27	SRR1061691	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.6	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	846	578	ILLUMINA	2013-12-27	SRR1061798	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	842	570	ILLUMINA	2013-12-27	SRR1061884	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	842	574	ILLUMINA	2013-12-27	SRR1062034	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	841	569	ILLUMINA	2013-12-27	SRR1062126	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.5	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795875		BI	sra	ncbi		SRX399636	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11381_SN_11_1	2013-12-27	837	573	ILLUMINA	2013-12-27	SRR1062152	SRS373122	SRP030662	PRJNA218187.11381_SN_11_1	AssemblyWithoutReference					D2BDVACXX		374348.0				male		SL-HAU	missing	8		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374348.0	PDO-1813	G39577	D2BDV.8	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795940		BI	sra	ncbi		SRX399604	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_08_1	2013-12-27	868	595	ILLUMINA	2013-12-27	SRR1061401	SRS373176	SRP030662	PRJNA218187.11721_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374351.0				female		SL-HAU	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374351.0	PDO-1813	G39583	D2BDV.2	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795940		BI	sra	ncbi		SRX399604	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_08_1	2013-12-27	869	597	ILLUMINA	2013-12-27	SRR1061431	SRS373176	SRP030662	PRJNA218187.11721_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374351.0				female		SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374351.0	PDO-1813	G39583	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795940		BI	sra	ncbi		SRX399604	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_08_1	2013-12-27	870	592	ILLUMINA	2013-12-27	SRR1061521	SRS373176	SRP030662	PRJNA218187.11721_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374351.0				female		SL-HAU	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374351.0	PDO-1813	G39583	D2BDV.6	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795940		BI	sra	ncbi		SRX399604	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_08_1	2013-12-27	867	595	ILLUMINA	2013-12-27	SRR1061556	SRS373176	SRP030662	PRJNA218187.11721_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374351.0				female		SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374351.0	PDO-1813	G39583	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN01795940		BI	sra	ncbi		SRX399604	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	11721_ST_08_1	2013-12-27	867	590	ILLUMINA	2013-12-27	SRR1061599	SRS373176	SRP030662	PRJNA218187.11721_ST_08_1	AssemblyWithoutReference					D2BDVACXX		374351.0				female		SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374351.0	PDO-1813	G39583	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
